Challenge Date,IP Address,User Agent,Country,Challenge Type
Sat Sep 10 19:39:59 UTC 2022,2405:201:d017:805e:20da:ff65:c793:3b2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",India,EMAIL_PIN_CHALLENGE
Mon Oct 31 14:24:08 UTC 2022,2401:4900:3137:3b50:b97e:3ed7:a1c4:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",India,EMAIL_PIN_CHALLENGE
Fri Dec 02 20:18:01 UTC 2022,2405:201:d017:80e1:864:147:2695:a3d6,"Mozilla/5.0 (Linux; Android 11; motorola one action) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
Tue Jan 03 16:38:01 UTC 2023,2405:201:d017:8096:6135:97a7:60ff:2449,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",India,EMAIL_PIN_CHALLENGE
Tue Jan 03 21:05:02 UTC 2023,2405:201:d017:8096:b4de:bcc8:377a:a30b,"Mozilla/5.0 (Linux; Android 11; motorola one action) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
Fri Aug 25 13:34:43 UTC 2023,27.7.167.130,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",India,CAPTCHA_CHALLENGE
Fri Aug 25 13:35:12 UTC 2023,27.7.167.130,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",India,EMAIL_PIN_CHALLENGE
Wed Oct 18 13:43:39 UTC 2023,2409:4062:2e0d:3087:3a1a:3054:cb73:264,"Mozilla/5.0 (Linux; Android 13; moto g54 5G Build/T3TD33.16-22-5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
Mon Feb 19 10:22:16 UTC 2024,2409:40f4:29:ef6e:8000:0:0:0,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
